UID,LENGTH,NAME,RESULT,SPEED,R_SPEED,ACCEL,R_ACCEL,STAMINA,R_STAMINA,ENERGY
3171438041958946036,305,Perfect Habit,1,77.731074963126,22.1945256872277,80.2975063894439,6.42523297953718,2.14061396238715,2.25737199658361,100
3171438041958946036,305,Legal Grounds,2,91.0161816590291,23.799613029497,72.0916012646208,6.10435023661343,69.8004267151519,11.4783800288164,100
3171438041958946036,305,True Jane,3,86.8475125584947,23.9500635755013,5.49802171910093,2.91039312448083,66.5299674722641,11.0866077535473,100
3171438041958946036,305,Ken of Kennington,5,36.041391380501,15.5198676259242,3.62452466569774,1.74361148356089,43.6787266032622,7.80809220753739,100
3171438041958946036,305,Voltaire,4,49.0041423798687,17.2406477112938,13.5983162117885,2.16526741736952,20.4847720926771,4.57436915865173,100
4857248668412227082,433,Henman,1,18.9567925176839,12.781174369701,99.6215523671864,6.07832874894995,68.1138349786298,10.7716673565965,100
4857248668412227082,433,The Red Diamond,5,31.7468892790605,15.0146726465909,13.7879168663121,1.88638696726215,19.9522039489186,4.5053840317483,100
4857248668412227082,433,August Day,4,21.4887249883653,13.3384734449403,64.5129906327887,3.06507858557648,47.9598819715378,8.05289342807552,100
4857248668412227082,433,Star Escort,3,98.4849553869643,24.2132534740287,15.8096766746884,3.14979994393974,57.1784975450321,9.09441021195559,100
4857248668412227082,433,Day in The Life,2,31.2969843412321,15.2496643871025,73.5593400938382,4.1442524627492,79.0947690199875,12.4678152557153,100
6884849470438233346,604,Captain Orange,2,70.260949714552,21.0367823273161,80.9312635550402,6.07301525917421,69.90084791258,10.9069623379695,100
6884849470438233346,604,Summer Shadow,4,56.1616869178012,17.9389203717942,24.3231107557355,2.39734171389133,36.0157094396878,6.78686319602546,100
6884849470438233346,604,Radical Reformer,5,13.6024711696468,11.5726633231594,54.5925928913718,2.233370268865,77.9078540419886,11.9280439488757,100
6884849470438233346,604,Sarosa,1,81.9225140523495,22.6236141811084,75.7098178086817,6.13510057110315,48.2187534881275,8.55610167409479,100
6884849470438233346,604,Unchained Melody,3,35.468781464643,14.5842803518169,33.3423729368895,2.29706742680143,14.5279659966424,3.71024347045692,100
6861254550545039227,698,Hearon,5,41.5230691878512,16.6856301086275,38.5169586352413,2.52971779643755,33.421884619475,6.24217402839382,100
6861254550545039227,698,Legal Challenge,3,57.0095454491637,18.6852981173531,59.4918796944039,3.7244664906202,98.5833108414435,15.4677150173897,100
6861254550545039227,698,The Hardy Laurel,4,16.0266668537366,12.2342416513906,79.9050244741294,3.53992472684474,97.6617744957881,14.4043913599548,100
6861254550545039227,698,Superintendent,2,23.9168020769206,13.6521404674024,83.336420533874,4.20698468425104,49.7257289707943,8.78719219665233,100
6861254550545039227,698,Rivers Empress,1,83.7282422978697,22.5203971025334,59.3965365858956,4.6150483203435,39.6842090095854,7.33610160660682,100
93003811665541814,907,Stephen's Myth,4,23.129516155813,13.2435634527362,8.67805394178025,1.56204151935921,12.4095870429201,3.55317686371681,100
93003811665541814,907,The Escapist,5,2.59808105467276,10.5534371638494,34.3060991397067,1.56382073231444,42.1595453575453,7.38270746821508,100
93003811665541814,907,Moorland Whiteout,3,46.0230083704718,17.4334607933284,26.1911664928,2.52807297843044,87.2262254752008,12.9483532980755,100
93003811665541814,907,Mare of Fame,1,90.0848693461541,23.7790784955456,86.7234722492883,8.32369635220866,98.6850598912855,15.4478251787319,100
